"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex","non_monotonic"
"Incheon","Female","35+",134213,179508,0.572189939468509,2010,35,0.572189939468509,0.572189939468509,0.999999,1.00000000002876e-06,0.6580402403331,6.58040240352023e-07,3.2901995565649,3.2901995565649,4.9999975,TRUE
"Incheon","Male","25-29",23069,46973,0.670640472859142,2010,25,0.670640472859142,0.663144081199267,0.949490228564821,0.0505097714351788,0.782522436514534,0.0395250294112483,3.81379960904455,11.1730713500476,14.2782760323322,TRUE
"Jeju","Female","35+",55324,116817,0.678612300381664,2010,35,0.678612300381664,0.678612300381664,0.999999,1.00000000002876e-06,0.675862915785476,6.75862915804911e-07,3.37931288927009,3.37931288927009,4.9999975,TRUE
"Jeju","Male","5-9",1107,15207,0.932144170650975,2010,5,0.932144170650975,0.91985738821911,0.923454857370273,0.0765451426297266,0.999999,0.0765450660845839,4.80863233478854,28.5824272003897,28.5824557828454,TRUE
"Jeju","Male","15-19",2779,16128,0.853017400962606,2010,15,0.853017400962606,0.849446773238871,0.865591917901854,0.134408082098146,0.923453010461482,0.124119548043887,4.30696618219769,19.1565275046589,20.7444529257484,TRUE
"Jeju","Male","35+",43060,107593,0.714177613456088,2010,35,0.714177613456088,0.714177613456088,0.999999,1.00000000002876e-06,0.727565353068853,7.27565353089775e-07,3.63782494643088,3.63782494643088,4.9999975,TRUE
"Jeju","Total","5-9",2314,28655,0.925280118828506,2010,5,0.925280118828506,0.92321244758061,0.933002644850904,0.0669973551490957,0.999999,0.0669972881517405,4.83250177962065,27.9382320495086,27.9382599877686,TRUE
"Jeju","Total","35+",98384,224410,0.695211187320706,2010,35,0.695211187320706,0.695211187320706,0.999999,1.00000000002876e-06,0.705396775478492,7.05396775498776e-07,3.52698211390052,3.52698211390052,4.9999975,TRUE
"Jeonbuk","Female","35+",712731,438601,0.380950933353716,2010,35,0.380950933353716,0.380950933353716,0.999999,1.00000000002876e-06,0.401448421246877,4.01448421258421e-07,2.00724110261333,2.00724110261333,4.9999975,TRUE
"Jeonbuk","Male","35+",632210,405824,0.390954438871944,2010,35,0.390954438871944,0.390954438871944,0.999999,1.00000000002876e-06,0.435572748525251,4.35572748537776e-07,2.17786265369438,2.17786265369438,4.9999975,TRUE
"Jeonbuk","Total","35+",1344941,844425,0.385693849269606,2010,35,0.385693849269606,0.385693849269606,0.999999,1.00000000002876e-06,0.418686835245635,4.18686835257675e-07,2.09343312951109,2.09343312951109,4.9999975,TRUE
"Jeonnam","Female","35+",1165616,486168,0.29432904060095,2010,35,0.29432904060095,0.29432904060095,0.999999,1.00000000002876e-06,0.279887192205864,2.79887192213912e-07,1.39943526131134,1.39943526131134,4.9999975,TRUE
