"org_region5","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Provinces","Total","50-54",966802,699262,0.419708966762381,0.459071445624394,0.999999,1e-06,0.418861812665519,4.18861812665519e-07,2.09430801617306,16.753016855404,39.996524745936,2000
"Provinces","Total","55-59",724718,646220,0.471370696559582,0.515578279787137,0.999999,1e-06,0.418861393803706,4.18861393803706e-07,2.09430592186505,14.658708839231,34.9965622424983,2000
"Provinces","Total","60-64",589497,698407,0.542281878152409,0.593139878949213,0.999999,1e-06,0.418860974942312,4.18860974942312e-07,2.09430382755912,12.5644029173659,29.996594739093,2000
"Provinces","Total","65-69",407159,593644,0.593167686347863,0.648798021567067,0.999999,1e-06,0.418860556081337,4.18860556081337e-07,2.0943017332553,10.4700990898068,24.9966222357152,2000
"Provinces","Total","70-74",254855,413603,0.618741940406129,0.676770761515557,0.999999,1e-06,0.418860137220781,4.18860137220781e-07,2.09429963895356,8.3757973565515,19.99664473236,2000
"Provinces","Total","75-79",162833,277459,0.630170432349441,0.689271076574809,0.999733778108598,0.000266221891402463,0.418859718360644,0.000111509626454273,2.09401981773708,6.28149771759794,14.9966622290222,2000
"Provinces","Total","80-84",81846,139361,0.630002667185035,0.689087577525115,0.999999,1e-06,0.41874820873419,4.1874820873419e-07,2.09373999680043,4.18747789986086,9.9999900000025,2000
"Provinces","Total","85+",44762,79067,0.638517633187702,0.698401121103754,0.999999,1e-06,0.418747789985981,4.18747789985981e-07,2.09373790306043,2.09373790306043,4.9999975,2000
"Rest Capital","Female","0-4",37786,355302,0.903873941712797,1,0.936026772069729,0.0639732279302706,1,0.0639732279302706,4.84006693017432,66.1839766894352,66.1839766894352,2000
"Rest Capital","Female","5-9",59761,328424,0.846050208019372,0.936026772069729,0.970942809945739,0.0290571900542612,0.936026772069729,0.0271983078119068,4.61213809081888,61.3439097592608,65.5364906108594,2000
"Rest Capital","Female","10-14",53817,247622,0.821466366329506,0.908828464257823,0.965478665671906,0.0345213343280945,0.908828464257823,0.0313739712615329,4.46570739313528,56.7317716684419,62.4229696797303,2000
"Rest Capital","Female","15-19",56444,216375,0.79310825125816,0.87745449299629,0.945208978575688,0.054791021424312,0.87745449299629,0.0480766279246186,4.2670808951699,52.2660642753067,59.5655554703823,2000
"Rest Capital","Female","20-24",57002,170690,0.749653040071676,0.829377865071671,0.962393848057974,0.0376061519420259,0.829377865071671,0.0311897100112383,4.06891505033026,47.9989833801368,57.8734801126974,2000
"Rest Capital","Female","25-29",62101,160852,0.721461473942939,0.798188155060433,0.955767326839959,0.0442326731600406,0.798188155060433,0.035305995783004,3.90267578584465,43.9300683298065,55.0372340798273,2000
"Rest Capital","Female","30-34",64109,142394,0.68954930436846,0.762882159277429,0.985294147983788,0.0147058520162122,0.762882159277429,0.0112188321401423,3.78636371603679,40.0273925439618,52.4686441505909,2000
"Rest Capital","Female","35-39",71613,151765,0.679408894340535,0.751663327137287,0.921826346973077,0.0781736530269231,0.751663327137287,0.0587602681286929,3.6114159653647,36.241028827925,48.2144432480818,2000
