"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex"
"Daejeon","Female","20-24",9038,23976,0.726237353849882,2000,20,0.726237353849882,0.726237353849882,0.799047840007771,0.200952159992229,0.862170655906415,0.173255055586311,3.8777156405663,12.516949113785,14.5179484224335
"Daejeon","Female","25-29",14797,20459,0.580298388926707,2000,25,0.580298388926707,0.580298388926707,0.82191931880483,0.17808068119517,0.688915600320104,0.122682559390984,3.13787160312306,8.63923347321868,12.5403365364414
"Daejeon","Female","30-34",17513,15970,0.476958456530179,2000,30,0.476958456530179,0.476958456530179,0.962096365363495,0.0379036346365051,0.56623304092912,0.0214622903024946,2.77750947888936,5.50136187009562,9.7157203349853
"Daejeon","Female","35+",68094,57745,0.458879997457068,2000,35,0.458879997457068,0.458879997457068,0.999999,1.00000000002876e-06,0.544770750626626,5.44770750642291e-07,2.72385239120625,2.72385239120625,4.9999975
"Daejeon","Male","0-4",6766,42388,0.862350978557188,2000,0,0.862350978557188,0.862350978557188,0.92140773715301,0.0785922628469901,1,0.0785922628469901,4.80351934288253,32.3751441231158,32.3751441231158
"Daejeon","Male","5-9",11044,40977,0.787701120701255,2000,5,0.787701120701255,0.794576863784062,0.999999,1.00000000002876e-06,0.92140773715301,9.21407737179506e-07,4.60703638224571,27.5716247802333,29.9233701525286
"Daejeon","Male","10-14",8119,32773,0.801452606866869,2000,10,0.801452606866869,0.794576863784062,0.994879934992521,0.00512006500747908,0.921406815745273,0.00471766279495009,4.59523992173899,22.9645883979876,24.9233975759262
"Daejeon","Male","15-19",8193,30916,0.790508578588049,2000,15,0.790508578588049,0.790508578588049,0.930161911951834,0.0698380880481656,0.916689152950323,0.064019817776543,4.42339622031026,18.3693484762486,20.0387976852652
"Daejeon","Male","20-24",6816,18934,0.735300970873786,2000,20,0.735300970873786,0.735300970873786,0.881018961537524,0.118981038462476,0.85266933517378,0.101451482964085,4.00971796845869,13.9459522559384,16.3556394966357
"Daejeon","Male","25-29",12261,22553,0.647814097776756,2000,25,0.647814097776756,0.647814097776756,0.8581474553415,0.1418525446585,0.751217852209694,0.106562163928838,3.48968385122638,9.93623428747967,13.2268346102963
"Daejeon","Male","30-34",12726,15931,0.555920019541473,2000,30,0.555920019541473,0.555920019541473,0.999999,1.00000000002876e-06,0.644655688280856,6.44655688299394e-07,3.22327682976506,6.44655043625329,9.9999900000025
"Daejeon","Male","35+",53857,68975,0.561539338283184,2000,35,0.561539338283184,0.561539338283184,0.999999,1.00000000002876e-06,0.644655043625168,6.44655043643705e-07,3.22327360648823,3.22327360648823,4.9999975
"Daejeon","Total","0-4",13904,80523,0.852753979264405,2000,0,0.852753979264405,0.852753979264405,0.925966831171928,0.0740331688280722,1,0.0740331688280722,4.81491707792982,31.762053980948,31.762053980948
"Daejeon","Total","5-9",21001,75549,0.782485758674262,2000,5,0.782485758674262,0.789621899948713,0.999999,1.00000000002876e-06,0.925966831171928,9.25966831198555e-07,4.62983184094256,26.9471369030182,29.1016222135227
"Daejeon","Total","10-14",16502,59859,0.783894920181768,2000,10,0.783894920181768,0.789621899948713,0.999999,1.00000000002876e-06,0.925965905205097,9.25965905231723e-07,4.62982721111072,22.3173050620756,24.1016488151715
"Daejeon","Total","15-19",15197,61744,0.802485020990109,2000,15,0.802485020990109,0.789621899948713,0.92475774991368,0.0752422500863201,0.925964979239191,0.0696716885390895,4.45564567484823,17.6874778509649,19.1016704168419
"Daejeon","Total","20-24",15854,42910,0.730208971479137,2000,20,0.730208971479137,0.730208971479137,0.840640588562152,0.159359411437848,0.856293290700102,0.136458394824146,3.94032046644014,13.2318321761166,15.4524534056531
"Daejeon","Total","25-29",27058,43012,0.613843299557585,2000,25,0.613843299557585,0.613843299557585,0.836325865273756,0.163674134726244,0.719834895875956,0.117818353728253,3.30462859505915,9.29151170967651,12.9078372872849
"Daejeon","Total","30-34",30239,31901,0.513373028644995,2000,30,0.513373028644995,0.513373028644995,0.99262903689364,0.0073709631063601,0.602016542147703,0.00443744172158919,2.99898910643454,5.98688311461736,9.94471529512971
"Daejeon","Total","35+",121951,126720,0.509588974991052,2000,35,0.509588974991052,0.509588974991052,0.999999,1.00000000002876e-06,0.597579100426114,5.97579100443297e-07,2.98789400818282,2.98789400818282,4.9999975
"Gangwon","Female","0-4",6325,37950,0.857142857142857,2000,0,0.857142857142857,0.857142857142857,0.906983798690107,0.0930162013098931,1,0.0930162013098931,4.76745949672527,23.0921614293518,23.0921614293518
"Gangwon","Female","5-9",10762,37588,0.77741468459152,2000,5,0.77741468459152,0.77741468459152,0.903996131783076,0.0960038682169236,0.906983798690107,0.0870739530843298,4.31723411073971,18.3247019326265,20.2040013935107
"Gangwon","Female","10-14",15407,36430,0.702779867662095,2000,10,0.702779867662095,0.702779867662095,0.883725065546588,0.116274934453412,0.819909845605777,0.0953349635555185,3.86121181914009,14.0074678218868,17.0841561385784
"Gangwon","Female","15-19",26585,43572,0.621064184614507,2000,15,0.621064184614507,0.621064184614507,0.709726580442778,0.290273419557222,0.724574882050259,0.210324828737999,3.09706233840629,10.1462560027467,14.0030468266259
"Gangwon","Female","20-24",44580,35139,0.440785759981937,2000,20,0.440785759981937,0.440785759981937,0.766025393992525,0.233974606007475,0.514250053312259,0.120321453613059,2.27044663252865,7.04919366434044,13.7077159621801
"Gangwon","Female","25-29",78096,39812,0.337653085456458,2000,25,0.337653085456458,0.337653085456458,0.77048045165604,0.22951954834396,0.3939285996992,0.0904143142827293,1.74360721278918,4.7787470318118,12.1309979408979
"Gangwon","Female","30-34",94638,33278,0.260155101785547,2000,30,0.260155101785547,0.260155101785547,0.999999,1.00000000002876e-06,0.303514285416471,3.03514285425199e-07,1.51757066829664,3.03513981902262,9.9999900000025
"Gangwon","Female","35+",367567,243336,0.398321828506326,2000,35,0.398321828506326,0.398321828506326,0.999999,1.00000000002876e-06,0.303513981902186,3.03513981910913e-07,1.51756915072597,1.51756915072597,4.9999975
"Gangwon","Male","0-4",6407,45382,0.876286470099828,2000,0,0.876286470099828,0.876286470099828,0.897880297937627,0.102119702062373,1,0.102119702062373,4.74470074484407,24.3119077974863,24.3119077974863
"Gangwon","Male","5-9",10993,40569,0.786800356851945,2000,5,0.786800356851945,0.786800356851945,0.873683188808342,0.126316811191658,0.897880297937627,0.113417376067297,4.20585804951989,19.5672070526423,21.7926677950133
