"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Chungbuk","Female","80-84",6063,5728,0.485794249851582,0.555568405952689,0.909221611839639,0.0907783881603613,0.287824253810764,0.0261282218343999,1.37380071446782,2.68228022010956,9.31915981574326,2000
"Chungbuk","Female","85+",3993,3159,0.441694630872483,0.505134801547483,0.999999,1e-06,0.261696031976364,2.61696031976364e-07,1.30847950564174,1.30847950564174,4.9999975,2000
"Chungbuk","Male","0-4",6678,45281,0.871475586520141,1,0.920764272857216,0.0792357271427838,1,0.0792357271427838,4.80191068214304,46.3160910888553,46.3160910888553,2000
"Chungbuk","Male","5-9",10924,44366,0.802423584735034,0.920764272857216,0.999999,1e-06,0.920764272857216,9.20764272857216e-07,4.6038190623754,41.5141804067122,45.0866542398413,2000
"Chungbuk","Male","10-14",8983,37988,0.808754337782887,0.92802867950931,0.896426578602225,0.103573421397775,0.920763352092943,0.0953666106739506,4.36540023377984,36.9103613443368,40.0866968265382,2000
"Chungbuk","Male","15-19",16081,42393,0.724988883948422,0.831909574017271,0.799340055693458,0.200659944306542,0.825396741418993,0.165624064163936,3.71292354668512,32.544961110557,39.4294761263618,2000
"Chungbuk","Male","20-24",21415,29514,0.57951265487247,0.664978645226886,0.791394025436873,0.208605974563127,0.659772677255057,0.137632522328915,2.954782080453,28.8320375638719,43.6999569061055,2000
"Chungbuk","Male","25-29",44878,38018,0.458622852731133,0.526260126875664,0.824867978574872,0.175132021425128,0.522140154926142,0.0914434607994446,2.3820921226321,25.8772554834189,49.5599797090481,2000
"Chungbuk","Male","30-34",64907,39496,0.378303305460571,0.434095127060485,0.906742786617077,0.093257213382923,0.430696694126698,0.040165573507493,2.05306953686476,23.4951633607868,54.5515293736506,2000
"Chungbuk","Male","35-39",85265,44519,0.343023793379769,0.393612625167718,0.999999,1e-06,0.390531120619205,3.90531120619205e-07,1.95265462676822,21.442093823922,54.9049555639115,2000
"Chungbuk","Male","40-44",74968,41467,0.35613861811311,0.408661612122946,0.999999,1e-06,0.390530730088084,3.90530730088084e-07,1.9526526741136,19.4894391971538,49.9050079689195,2000
"Chungbuk","Male","45-49",57830,32162,0.357387323317628,0.410094475216109,0.999999,1e-06,0.390530339557354,3.90530339557354e-07,1.95265072146092,17.5367865230402,44.9050553739749,2000
